latitude,longitude,alert_date,confidence,source
-10.69763,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.69763,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69763,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69763,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69787,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.69787,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69787,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69787,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69812,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.69812,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69812,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69812,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69838,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69838,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69862,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.69862,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.93887,-63.63488,2026-03-01,nominal,GLAD-Landsat
-10.93913,-63.63513,2026-03-01,nominal,GLAD-Landsat
-10.93938,-63.63513,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63587,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63562,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63538,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63287,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63262,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63238,2026-03-01,nominal,GLAD-Landsat
-10.94063,-63.63188,2026-03-01,nominal,GLAD-Landsat
-10.94088,-63.63562,2026-03-01,nominal,GLAD-Landsat
-10.94088,-63.63538,2026-03-01,nominal,GLAD-Landsat
-10.94088,-63.63213,2026-03-01,nominal,GLAD-Landsat
-10.94088,-63.63188,2026-03-01,nominal,GLAD-Landsat
-10.94138,-63.63513,2026-03-01,nominal,GLAD-Landsat
-10.94138,-63.63488,2026-03-01,nominal,GLAD-Landsat
-10.94163,-63.63188,2026-03-01,nominal,GLAD-Landsat
-10.94187,-63.63437,2026-03-01,nominal,GLAD-Landsat
-10.94187,-63.63213,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63437,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63363,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63312,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63287,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63262,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63238,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63188,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63462,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63412,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63363,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63312,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63287,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63262,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63238,2026-03-01,nominal,GLAD-Landsat
-10.95513,-63.67437,2026-03-01,nominal,GLAD-Landsat
-10.95513,-63.67412,2026-03-01,nominal,GLAD-Landsat
-10.96487,-63.59437,2026-03-01,nominal,GLAD-Landsat
-11.00113,-63.74963,2026-03-01,nominal,GLAD-Landsat
-11.24987,-63.45412,2026-03-01,nominal,GLAD-Landsat
-11.94288,-71.92163,2026-03-04,nominal,GLAD-Landsat
-11.96712,-71.99938,2026-03-04,nominal,GLAD-Landsat
-11.96712,-71.99913,2026-03-04,nominal,GLAD-Landsat
-11.96738,-71.99938,2026-03-04,nominal,GLAD-Landsat
-11.96738,-71.99913,2026-03-04,nominal,GLAD-Landsat
-11.96762,-71.99913,2026-03-04,nominal,GLAD-Landsat
-11.98287,-71.69388,2026-03-04,nominal,GLAD-Landsat
-11.99537,-71.70663,2026-03-04,nominal,GLAD-Landsat
-12.00662,-71.72262,2026-03-04,nominal,GLAD-Landsat
-12.00662,-71.71863,2026-03-04,nominal,GLAD-Landsat
-12.00938,-71.93812,2026-03-04,nominal,GLAD-Landsat
-12.00987,-71.72312,2026-03-04,nominal,GLAD-Landsat
-12.01487,-71.98113,2026-03-04,nominal,GLAD-Landsat
-12.01562,-71.80338,2026-03-04,nominal,GLAD-Landsat
-12.01763,-71.70538,2026-03-04,nominal,GLAD-Landsat
-12.01788,-71.73137,2026-03-04,nominal,GLAD-Landsat
-12.02163,-71.74887,2026-03-04,nominal,GLAD-Landsat
-12.02637,-71.66787,2026-03-04,nominal,GLAD-Landsat
-12.02712,-71.96513,2026-03-04,nominal,GLAD-Landsat
-12.02737,-71.96513,2026-03-04,nominal,GLAD-Landsat
-12.02763,-71.64512,2026-03-04,nominal,GLAD-Landsat
-12.03288,-71.75262,2026-03-04,nominal,GLAD-Landsat
-12.03487,-71.98037,2026-03-04,nominal,GLAD-Landsat
-12.03487,-71.97988,2026-03-04,nominal,GLAD-Landsat
-12.03513,-71.98063,2026-03-04,nominal,GLAD-Landsat
-12.03538,-71.98087,2026-03-04,nominal,GLAD-Landsat
-12.03562,-71.98087,2026-03-04,nominal,GLAD-Landsat
-12.03637,-71.76037,2026-03-04,nominal,GLAD-Landsat
-12.03637,-71.75838,2026-03-04,nominal,GLAD-Landsat
-12.03637,-71.63013,2026-03-04,nominal,GLAD-Landsat
-12.03637,-71.62987,2026-03-04,nominal,GLAD-Landsat
-12.03663,-71.75838,2026-03-04,nominal,GLAD-Landsat
-12.03688,-71.76113,2026-03-04,nominal,GLAD-Landsat
-12.03712,-71.76037,2026-03-04,nominal,GLAD-Landsat
-12.03712,-71.75912,2026-03-04,nominal,GLAD-Landsat
-12.03738,-71.75912,2026-03-04,nominal,GLAD-Landsat
-12.03763,-71.75912,2026-03-04,nominal,GLAD-Landsat
-12.03813,-71.75962,2026-03-04,nominal,GLAD-Landsat
-12.03838,-71.75938,2026-03-04,nominal,GLAD-Landsat
-12.03862,-71.75987,2026-03-04,nominal,GLAD-Landsat
-12.03888,-71.76037,2026-03-04,nominal,GLAD-Landsat
-12.03888,-71.75962,2026-03-04,nominal,GLAD-Landsat
-12.03913,-71.75938,2026-03-04,nominal,GLAD-Landsat
-12.04063,-71.75588,2026-03-04,nominal,GLAD-Landsat
-12.04063,-71.75562,2026-03-04,nominal,GLAD-Landsat
-12.04537,-71.74913,2026-03-04,nominal,GLAD-Landsat
-12.05712,-71.48887,2026-03-04,nominal,GLAD-Landsat
-12.05987,-71.72262,2026-03-04,nominal,GLAD-Landsat
-12.06638,-71.62762,2026-03-04,nominal,GLAD-Landsat
-12.07088,-71.70188,2026-03-04,nominal,GLAD-Landsat
-12.07512,-71.92713,2026-03-04,nominal,GLAD-Landsat
-12.07762,-71.66763,2026-03-04,nominal,GLAD-Landsat
-12.07762,-71.66563,2026-03-04,nominal,GLAD-Landsat
-12.08038,-71.78987,2026-03-04,nominal,GLAD-Landsat
-12.08038,-71.78963,2026-03-04,nominal,GLAD-Landsat
-12.08038,-71.78938,2026-03-04,nominal,GLAD-Landsat
-12.08912,-71.66837,2026-03-04,nominal,GLAD-Landsat
-12.08938,-71.66837,2026-03-04,nominal,GLAD-Landsat
-12.09013,-71.90762,2026-03-04,nominal,GLAD-Landsat
-12.09013,-71.90738,2026-03-04,nominal,GLAD-Landsat
-12.09037,-71.90812,2026-03-04,nominal,GLAD-Landsat
-12.09037,-71.90788,2026-03-04,nominal,GLAD-Landsat
-12.09238,-71.96587,2026-03-04,nominal,GLAD-Landsat
-12.10838,-71.93188,2026-03-04,nominal,GLAD-Landsat
-12.10862,-71.93188,2026-03-04,nominal,GLAD-Landsat
-12.10862,-71.93162,2026-03-04,nominal,GLAD-Landsat
-12.11662,-71.70812,2026-03-04,nominal,GLAD-Landsat
-12.32812,-71.47163,2026-03-04,nominal,GLAD-Landsat
-7.41212,-63.74238,2026-03-01,nominal,GLAD-Landsat
-7.41237,-63.74238,2026-03-01,nominal,GLAD-Landsat
-7.41287,-63.74437,2026-03-01,nominal,GLAD-Landsat
-7.41287,-63.74412,2026-03-01,nominal,GLAD-Landsat
-7.41413,-63.74638,2026-03-01,nominal,GLAD-Landsat
-7.41488,-63.74663,2026-03-01,nominal,GLAD-Landsat
-7.41613,-63.74612,2026-03-01,nominal,GLAD-Landsat
-7.41662,-63.74312,2026-03-01,nominal,GLAD-Landsat
-7.41763,-63.74887,2026-03-01,nominal,GLAD-Landsat
-7.41812,-63.74088,2026-03-01,nominal,GLAD-Landsat
-7.41863,-63.74612,2026-03-01,nominal,GLAD-Landsat
-7.41887,-63.74612,2026-03-01,nominal,GLAD-Landsat
-7.41988,-63.74437,2026-03-01,nominal,GLAD-Landsat
-7.41988,-63.74412,2026-03-01,nominal,GLAD-Landsat
-7.42013,-63.74912,2026-03-01,nominal,GLAD-Landsat
-7.42037,-63.74462,2026-03-01,nominal,GLAD-Landsat
-7.42138,-63.74912,2026-03-01,nominal,GLAD-Landsat
-7.42138,-63.74638,2026-03-01,nominal,GLAD-Landsat
-7.42138,-63.74562,2026-03-01,nominal,GLAD-Landsat
-7.42138,-63.74488,2026-03-01,nominal,GLAD-Landsat
-7.42138,-63.74213,2026-03-01,nominal,GLAD-Landsat
-7.42162,-63.74538,2026-03-01,nominal,GLAD-Landsat
-7.42162,-63.74513,2026-03-01,nominal,GLAD-Landsat
-7.42213,-63.74262,2026-03-01,nominal,GLAD-Landsat
-7.42237,-63.74587,2026-03-01,nominal,GLAD-Landsat
-7.42237,-63.74562,2026-03-01,nominal,GLAD-Landsat
-7.42263,-63.74538,2026-03-01,nominal,GLAD-Landsat
-7.42437,-63.74513,2026-03-01,nominal,GLAD-Landsat
-7.42437,-63.74388,2026-03-01,nominal,GLAD-Landsat
-7.43363,-63.55763,2026-03-01,nominal,GLAD-Landsat
-7.43363,-63.55738,2026-03-01,nominal,GLAD-Landsat
-7.43363,-63.55537,2026-03-01,nominal,GLAD-Landsat
-7.43363,-63.55488,2026-03-01,nominal,GLAD-Landsat
-7.43363,-63.55362,2026-03-01,nominal,GLAD-Landsat
-7.43363,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43388,-63.74887,2026-03-01,nominal,GLAD-Landsat
-7.43388,-63.55588,2026-03-01,nominal,GLAD-Landsat
-7.43388,-63.55537,2026-03-01,nominal,GLAD-Landsat
-7.43388,-63.55512,2026-03-01,nominal,GLAD-Landsat
-7.43388,-63.55488,2026-03-01,nominal,GLAD-Landsat
-7.43388,-63.55212,2026-03-01,nominal,GLAD-Landsat
-7.43388,-63.55087,2026-03-01,nominal,GLAD-Landsat
-7.43388,-63.55062,2026-03-01,nominal,GLAD-Landsat
-7.43388,-63.55038,2026-03-01,nominal,GLAD-Landsat
-7.43412,-63.55488,2026-03-01,nominal,GLAD-Landsat
-7.43412,-63.55463,2026-03-01,nominal,GLAD-Landsat
-7.43412,-63.55362,2026-03-01,nominal,GLAD-Landsat
-7.43412,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55638,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55562,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55488,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55463,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55438,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55412,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55387,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55362,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55163,2026-03-01,nominal,GLAD-Landsat
-7.43438,-63.55087,2026-03-01,nominal,GLAD-Landsat
-7.43463,-63.55638,2026-03-01,nominal,GLAD-Landsat
-7.43463,-63.55562,2026-03-01,nominal,GLAD-Landsat
-7.43463,-63.55438,2026-03-01,nominal,GLAD-Landsat
-7.43463,-63.55412,2026-03-01,nominal,GLAD-Landsat
-7.43463,-63.55387,2026-03-01,nominal,GLAD-Landsat
-7.43463,-63.55362,2026-03-01,nominal,GLAD-Landsat
-7.43463,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43463,-63.55163,2026-03-01,nominal,GLAD-Landsat
-7.43463,-63.55087,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55687,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55638,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55438,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55412,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55387,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55362,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55313,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55288,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55262,2026-03-01,nominal,GLAD-Landsat
-7.43487,-63.55188,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55763,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55738,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55712,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55687,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55638,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55588,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55562,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55537,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55512,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55438,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55412,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55362,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55313,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55288,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55237,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55138,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55112,2026-03-01,nominal,GLAD-Landsat
-7.43513,-63.55087,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55638,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55588,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55562,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55537,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55512,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55488,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55463,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55438,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55412,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55313,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55288,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55262,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55237,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55087,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55062,2026-03-01,nominal,GLAD-Landsat
-7.43538,-63.55038,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55512,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55488,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55438,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55412,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55313,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55288,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55262,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55163,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55062,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55038,2026-03-01,nominal,GLAD-Landsat
-7.43562,-63.55013,2026-03-01,nominal,GLAD-Landsat
-7.43588,-63.55362,2026-03-01,nominal,GLAD-Landsat
-7.43588,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43588,-63.55313,2026-03-01,nominal,GLAD-Landsat
-7.43588,-63.55288,2026-03-01,nominal,GLAD-Landsat
-7.43588,-63.55188,2026-03-01,nominal,GLAD-Landsat
-7.43588,-63.55163,2026-03-01,nominal,GLAD-Landsat
-7.43588,-63.55138,2026-03-01,nominal,GLAD-Landsat
-7.43588,-63.55112,2026-03-01,nominal,GLAD-Landsat
-7.43588,-63.55038,2026-03-01,nominal,GLAD-Landsat
-7.43613,-63.55362,2026-03-01,nominal,GLAD-Landsat
-7.43613,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43613,-63.55313,2026-03-01,nominal,GLAD-Landsat
-7.43613,-63.55288,2026-03-01,nominal,GLAD-Landsat
-7.43613,-63.55262,2026-03-01,nominal,GLAD-Landsat
-7.43613,-63.55212,2026-03-01,nominal,GLAD-Landsat
-7.43613,-63.55188,2026-03-01,nominal,GLAD-Landsat
-7.43613,-63.55163,2026-03-01,nominal,GLAD-Landsat
-7.43613,-63.55062,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55738,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55712,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55687,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55662,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55338,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55313,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55212,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55188,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55112,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55087,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55038,2026-03-01,nominal,GLAD-Landsat
-7.43637,-63.55013,2026-03-01,nominal,GLAD-Landsat
-7.43663,-63.55763,2026-03-01,nominal,GLAD-Landsat
